,episode,date,name_ja,opening_ja,dupe_number,day_order
298,291,1995-09-17,松本ドッキリ！尾行大作戦!!（尾行シリーズ(1)）,後楽園遊園地に行ってきた→後楽園遊園地のゾンビパーティ→なんか嘘でもいいから作り話しなよ→帰りたい→気合入れて喋ろう→体臭キツい→土曜日はゴルフのビデオ撮りにグアム行ってた,1,1995-09-17-1.0
299,292,1995-09-24,マネージャー岡本また×４怒る!!(5)〜闘魂振りこ岡本ボンバイエ,先週の客は最悪だった→工事がうるさい→松本の自画自賛→[ハガキ]松本式ダイエット法についておしえてください→スープスパのあの男はいったい誰なんですか？,1,1995-09-24-1.0
300,293,1995-10-01,浜田雅功尾行大作戦!!（尾行シリーズ(2)）,浜田は頑張った分だけ返りがある→浜田は綺麗な方、松本はダーティな方にどんどん向かっている→ジュノンの優しい男第９位の浜田→ダウンタウンは現場で棒を持って歩いてるとか書かれてた→マジカル頭脳パワー→[ハガキ]なぜ松本さんは育ちが良くて上品なのですか？→松本さんは美しい物しか映さない鏡を持っているそうですが、その鏡にはどんな物が映るのですか？→ビックリ箱からはビックリする物が出ますが、松本さんの体の中からは、どんなビックリするものが出るのですか→浜ちゃんのうんこは、ふんころがしも気絶するというのは本当ですか？,1,1995-10-01-1.0
301,294,1995-10-08,スタッフフリートーク鑑賞会,ガキの使い始まって以来のピンチ→自画自賛→古畑任三郎→[ハガキ]今でも語り草になっているあのタイトルマッチの後、松本さんがボクシンググローブを捨てた理由を教えてください→コギャルブーム、コマダムブームの次に来るのは、コ何ブームですか？→松本さんはどんなプロポーズの言葉で決めますか？,1,1995-10-08-1.0
302,-,1995-10-15,SP『ダウンタウンのガキの使いやあらへんで!!スペシャル』21:00-22:54(114m),なし,1,1995-10-15-1.0
303,295,1995-10-22,ディスコクイーン（スタッフ女装(2)）,ごっつの特番２時間の後、ガキの特番２時間、４時間ダウンタウン→[ハガキ]英語できんぴらごぼうは何と言うのですか？→どういう修行を積めば、松本さんのように空き瓶の中に全身入ることができるようになるのですか？→人間はくすぐられるとなぜ笑ってしまうのでしょうか？,1,1995-10-22-1.0
304,296,1995-10-29,スタッフピアスでモテモテ大作戦!!,浜田のズル休み→ケツがおかしい[ハガキ]→松ちゃんのおにゃん子時代についておしえてください。また、山本スーザン久美子はどんな娘だったんですか？→ドラえもんのポケットには、のび太君お助けグッズが入っていますが、松本さんのポケットの中には、どのようなお助けグッズが入っているのですか？→飛行機の中では携帯電話を使わないでくださいと言われますが、携帯電話を使うとどうなってしまうのですか？,1,1995-10-29-1.0
305,297,1995-11-05,山崎邦正七変化!! (七変化第1回),最近ロクな番組がない→浜田はドラマで松本にメッセージを送っている→林マヤのCM→セット変更→[ハガキ]松本さんはよく、女性にかわいいと言われるそうですが、どうすれば松本さんのようにキュートになれるのですか？→松本さんは「時間よ止まれ」と言えば時間が止まるそうですが→レコード大賞作曲賞を２回受賞している松本さん,1,1995-11-05-1.0
306,298,1995-11-12,松本VS浜田100本勝負,和田アキ子からの呼び出し→あなたがほしい→林マヤ登場→[ハガキ]ダウンタウンのお二人は、スターなのになぜスターどっきりマル秘報告に出ないのですか？→皆勤賞を続けている松本さんがもし休むとしたら、何のきっかけが必要ですか？→付き合っている彼女と倦怠期になってしまった場合、どうしたら付き合っている頃のときめきを取り戻すことができるのですか？,1,1995-11-12-1.0
307,299,1995-11-19,1994「ガキつか」交友録,なし,1,1995-11-19-1.0
308,300,1995-11-26,菅プロデューサー七変化 (七変化第2回),先週総集編になった訳→扁桃腺,1,1995-11-26-1.0
309,301,1995-12-03,フィーリングカップル５VS５,浜田の紅白決定→[ハガキ]プロレス界に封印された幻の技、フライングローイングソバットエクスプレスとは一体どんな技だったのですか？→銀行強盗をするときに、まず注意しなければいけないことは何ですか？→10円玉一枚でどんな遊びができるかやってみてください,1,1995-12-03-1.0
310,302,1995-12-10,第６回紅白どっちが勝つねん!!,大竹まことのモノマネ→今年一番の謎→今度長渕剛がヘイヘイヘイに出る[ハガキ]松本さんの背中にはいまだに大きな傷があるそうですが、その時の話を聞かせてくれませんか？→ヘインズのTシャツは、どういう状態になったら捨て時なのですか？→今、毒グモが大阪で大量発生しているそうですが、やつらを一掃する方法を教えてください,1,1995-12-10-1.0
311,303,1995-12-17,1995年度第１回ガキデミー賞授賞式,なし,1,1995-12-17-1.0
312,-,1995-12-29,SP『ダウンタウンのガキの使いやあらへんで!!スペシャルin香港』19:00-20:54(114m),なし,1,1995-12-29-1.0
313,304,1996-01-07,松本ＶＳ浜田３本勝負！（と見せかけて大爆発）,年明け一発目→紅白は大変だったね→ガキの年末の香港SPで寝起きドッキリをされた→伊勢丹のペットショップ→ホコ天止めろ→[ハガキ]松本さんは一年前、眼鏡不足を予言しましたが、結果はどうでしたか？また、今年は何が起こるんですか？→宇宙人にさらわれた松本さん、その時の状況を教えてください,1,1996-01-07-1.0
314,305,1996-01-14,新春特別企画’９５年好視聴率祭り!!,なし,1,1996-01-14-1.0
315,306,1996-01-21,ザ・シェフ坂本Ｄ,松本の予言的中[ハガキ]→北島ファミリーは毎年、年に一回ファミリーで集まって宴会をするそうですが、宴会の後、全員で何をするのですか？北島ファミリーの松本さん教えてください→松本さんがサラリーマン時代に、大喧嘩をして止めたあの事件をおしえてください→ネクタイをベルトの下にしまうことで、今までに得したことを３つ教えてください,1,1996-01-21-1.0
316,307,1996-01-28,ヘタレ山崎　決死のバトル大作戦!!,オカンみたいな客いる→芸能界に最近熱愛カップルが多い→家のコタツのスイッチが絶対に裏返っている→おたまかけるやつがすぐ落ちて困る→こてがぺらんぺらんで困る→松本の家には結構物がある→女にひーくんと呼ばせたことは一回もない→[ハガキ]過去２年連続で、所得１位の座を三田佳子に奪われている松本さん。今年は所得１位になるための秘策は何かあったのですか？→読売ジャイアンツの抑えの切り札でもある松本さん。今年のキャンプはどんなメニューで練習していますか？→芸能界の遅刻王松本さん、学校に遅刻したときに、何度使っても大丈夫な遅刻の理由はありますか？,1,1996-01-28-1.0
317,308,1996-02-04,社会を斬る（１）おたまかけの考察！,今日はあまり面白くない日→ガキ水が売れてる→寒いコート→銭ゲバ浜田→中学の同窓会の話→京プラの駐車場→[ハガキ]松本さんは上から８４、５８、８５のナイスプロポーションだそうですが、美しさの秘訣は何ですか？→大阪でテレビ局のADをやっていたという松本さん。今でも伝説として残る幻のQ出しがあったそうですがぜひその技を今一度見せてください,1,1996-02-04-1.0
318,309,1996-02-11,社会を斬る（２）車止めの考察,相方やる気ない→ラーメン屋で、常連客がおもいっきりラーメンを残してた→演歌を歌いながら来る、加藤剛似の出前のおっさんがいる[ハガキ]格闘王と呼ばれている松本さん、今まで強敵だったのは誰ですか？また、クマに勝った時の話を教えてください→道を歩いていると、ワカメが落ちていました。一体どういうことなんでしょうか？何かの暗示なのでしょうか？→うちの犬は車に乗せると、決まって何の前触れもなくゲロを吐いてしまいます。どうすれば犬の車酔いを見分けられますか？,1,1996-02-11-1.0
319,310,1996-02-18,社会を斬る（３）出前のおっさん検証,また松本にウソをつかれた→変な泣き方をする犬がいる→他に社会を斬る話しはないか→和田アキ子からの手紙→和田アキ子登場[ハガキ]国語辞典で松本人志を引くと、どのような意味で出ているのですか？→僕はよくパンツにウンコが付いています。どうすればいいでしょうか？→彼女にカツラであることをどう告白すれば良いですか？,1,1996-02-18-1.0
320,311,1996-02-25,さようならジミー大西スペシャル,なし,1,1996-02-25-1.0
321,312,1996-03-03,つっつん八変化 (七変化第3回),長者番付1位→やめなアカンやつ→アカン番組,1,1996-03-03-1.0
322,313,1996-03-10,ブリーフの貴公子マネージャー岡本また×６怒る!!（７）〜それって、日テレ,羽生も大変→[ハガキ]どういう死に方をすると解剖されちゃうんですか？→寒いです松本さん。ストーブなしで暑くなれる方法を教えてください→絶対にばれないカンニング法を教えてください→彼女を浮気相手の女の名前で呼び間違えない上手い方法はないですか？,1,1996-03-10-1.0
323,314,1996-03-17,ガキの使い　秘　保存版未公開トーク集＜総集編＞,[ハガキ]松本さんは先月男の子を出産されたそうですが、どのくらい大変でしたか？→今年小室が幻のユニットを結成するらしいですが、松本さんは知っていますか？→世界を股に掛けるスーパーモデルとして活躍しているの松本さんは、今度のパリコレでもやっぱり番組をを休んで行かれるのですか？→草食動物が肉を食ったらどうなるのですか？→生理の女を一発で見分ける方法を教えてください→やっぱり今はガキの観覧が一番良い→今風で不合格をブルーにさせない文句を考えてください→私も動物嫌いでもいい人に見られたいのですがどうしたらいいのか教えてください,1,1996-03-17-1.0
324,315,1996-03-24,山崎の家探し（幽霊出る？）,長髪に磨きがかかった浜田→久しぶりにムカツク奴がいた→ブタやったら乳デカイ→誰が借りるねんというAVがあった→昆虫食べてそうなブサイク→[ハガキ]この世で一番つらいことは何ですか？→卒業式で卒業証書をもらうときに、かっこいいセリフはありますか？,1,1996-03-24-1.0
325,-,1996-03-31,SP”ダウンタウンのガキの使いやあらへんで!!スペシャル〜ダウンタウン７年間の軌跡〜”21:00-22:54(114m),なし,1,1996-03-31-1.0
326,316,1996-04-07,浜田に役者根性はあるのか？（松本”竜馬におまかせ！”に出演）,紅白に友情出演したときのギャラ,1,1996-04-07-1.0
327,317,1996-04-14,持ち込み企画　山崎は伝説のスーパーよごれになれるのか!?,ドラマの現場→夢→[ハガキ]日本のトイレには和式洋式の便器しかありませんが世界中にはこの2種類しかないんですか→カップラーメンを作るとき時計がない場合3分をどうやって計るんですか→もし満員のエレベーターでへをこいた場合どうすればうまくごまかせますか→ひよこはいつから鶏になりいつからコケコッコーと鳴くのですか,1,1996-04-14-1.0
328,318,1996-04-21,芸能界ババぬき選手権!!,二人の仲が悪いとよく書かれる→松本はスタッフに怒鳴ったことは一度もない→DXの１０００人アンケートで、善人だと思うタレント４位の浜田、１票の松本→「ダウンタウンのいじめ」記事で、松本の写真だけ使われた→ダウンタウンパチンコで松本がいつも邪魔する側→[ハガキ]キスするとき、メガネをはずすタイミングを教えてください→世界三大美男子を教えてください,1,1996-04-21-1.0
329,319,1996-04-28,緊急企画　プロデューサー菅ちゃん尾行大作戦!!（尾行シリーズ（３））,オーストラリア人とデートする山崎→そんな状況でもないのに、サインをしてくれと言われた→浜田が小さいとき、家の近所の野球場に三枝が来た→浜田はただのおっさん？→とうとう趣味をみつけた松本→星見る会→むちゃくちゃ足が長い松本→浜田は趣味を探さなきゃいけない→[ハガキ]世界三大せつないものを教えてください→松本さんはなぜ、globeのメンバー入りを断ったのですか？,1,1996-04-28-1.0
330,320,1996-05-05,輝け！春の芸能人野球大会!!,俺が何かの単語をずっと言い続けてたら流行語になる→松本ぐらい流行語を持っている人間はいない→ブルーになる、キツイ、イケイケを浸透させたのは松本→ダウンタウンのそっくりさん→松本は女を騙したことは一度もない→素人は浜田のそっくりさんだとわからない→松本は足が長い？→浜田はいつまで髪を伸ばすのか→[ハガキ]インターネットをしていて医療関係者から得た極秘情報なのですが、松本さんが毎月、体の限界ぎりぎりまで献血をしているのはなぜですか？→次元大介より早打ちで有名な松本さん。ぜひその腕前を見せてください,1,1996-05-05-1.0
331,321,1996-05-12,第２回　松本ＶＳ浜田１００本勝負!!,客入ってないのかと思った→さっきまで目の下に茄子乗せてたん？みたいな奴→本番ギリギリまで野球見るのやめろ→野球の発祥はウンコからきている→下北で飯を食ってたら→新築のマンションをゴキブリから守った→[ハガキ]松本マジックという持ち芸がある松本さん。どうか松本マジックの１つだけでいいので教えてください→洋式トイレの便座には、どうしてＵ型とＯ型があるのですか？→フラミンゴの羽根を全部抜いてしまうと、何が残るのですか？,1,1996-05-12-1.0
332,322,1996-05-19,山崎スーパーよごれ第２弾　ある人に大奉仕!!,裸足で舞台に出てくるな→長者番付松本1位、浜田2位→この間しょんべんしてたら便器に血がベタ〜と付いてた→風呂上がりに○毛に鼻くそが付いている→バラ色の珍生で探して欲しい人いるか？→[ハガキ]こってりんこのCMソングの続編があるそうですがどんなのですか？→高校球児は甲子園で負けると土を持って帰りますがあの土は何に使うのですか？,1,1996-05-19-1.0
333,323,1996-05-26,世界のヘイポー３度目のお見合い（３）,最近どうもついてないね→松本は不眠症→[ハガキ]なぜ松ちゃんは夜必ず鍋を磨くのですか？→朝挨拶した友達と昼や夕方にまた会ってしまったら、どう挨拶したらいいのですか？→男の七つ道具とはいったい何ですか？→コウモリはタワシを投げ上げると、どうしてしがみついて一緒に落ちてくるのですか？,1,1996-05-26-1.0
334,324,1996-06-02,祝　１．２フィニッシュ　チキチキ　ダウンタウンプレゼンツ当たって砕けろ１０万円!!,ハマダー→高校時代の浜田の服装はひどかった→浜田がええやんこれって言うたら流行るよ→シャクタニが見つからない[ハガキ]ブラジャーはどのように進化していくのですか？→二人でジャングルに行って、浜田さんが毒蛇に噛まれたらどうしますか？→ちり紙交換車のかっこいい呼び止め方はありますか？→カエルとオタマジャクシの間の状態は何というのですか？→おまるがアヒルの形をしているのはなぜですか？,1,1996-06-02-1.0
335,325,1996-06-09,中村プロデューサー七変化!! (七変化第4回),早く帰りたい→肺がおかしい→今死んだら大きく扱われるのか？→タクシーで見かけたヤクザ→[ハガキ]松本さんは一時、ニューヨークのアルバイトで客に好きなだけ殴らせてお金を稼いでいたのはなぜですか？→世界三大甘い物を教えてください→今風のいかした口説き文句を教えてください→車のタイヤが溝にハマったとき、てこの原理を使って切りぬけますが、他にてこの原理はどんなことに使うのですか？,1,1996-06-09-1.0
336,326,1996-06-16,芸能人むかし話公演会!!,長渕剛のコンサートに行った→[ハガキ]必殺仕事人の松本さんに質問です。松本さんの殺し技は何ですか？また、仲間は今何をやっているのですか？→猫がどこに行っているのかわからないときがあります。どこに行っているのか教えてください→逃げた鳥を捕まえるパントマイムを教えてください→花嫁さんの角隠しの中には何が入っているのですか？→十二支を決めたのは松本さんであるとよく言われますが、どういう基準で決めたのか教えてください,1,1996-06-16-1.0
337,327,1996-06-23,緊急特別企画　松本人志　現代社会を斬る!!　考察特集,なし,1,1996-06-23-1.0
338,328,1996-06-30,山崎プレゼンツ　チキチキ　パーフェクトお絵かき,浜田のヘアースタイル→浜田のドラマ終わる→ヒトシー→山崎が殿さまの役で最終回に出た→山崎でも貯金がある→客の中にヒトシーがいっぱいいる→[ハガキ]月面旅行に行って月に降りた瞬間、何と言えば歴史に残る言葉となりますか？→なぜ犬は車の窓から顔を出すのですか？,1,1996-06-30-1.0
339,329,1996-07-07,第２回 芸能人釣り選手権!!（第１回はスペシャル(1995/10/15 OA)で放送）,なし,1,1996-07-07-1.0
340,330,1996-07-14,ブリーフの貴公子マネージャー岡本また×７怒る（８）〜ハンガー護身術〜四十八手〜,頭が痛い→久しぶりに喧嘩した松本→ビデオの会員→タレントは持って帰れるものしか買えない→朝まで生テレビで二人あきらかなヅラがいた→[ハガキ]松本さんは本当は六つ子だそうですが、他の５人は何をしているのですか？→寿司屋では頼む順番で通ぶりがわかるといいますが、初めて行く寿司屋でなめられない頼み方を教えてください,1,1996-07-14-1.0
341,331,1996-07-28,アイスコーヒーはどこまでアイスコーヒーなのか!?　アイスコーヒーの限界に迫る!!,今日の検証は良かった→オーヤンアイスコーヒー→次はビビアンスーでいこうと思ってる→オリンピック→バク天バカとヤワラちゃん→日本の柔道はマナーとして白帯→水泳で金メダルを獲った時→[ハガキ]ステーキの焼き方は3種類ってことはないですよね。本当は5種類あるって聞いたんですが、残りの2つを教えてください→これが無ければ死ぬ、ということを教えてください,1,1996-07-28-1.0
342,332,1996-08-04,祝アトランタオリンピック　第４回　世界のヘイポーお見合い,この番組から新しい遊びの一大ムーブメントを起こさないか→とりあえずじゃんけん→顔遊び→[ハガキ]鼻くそをほじっていて、急に人に見られてもうまくごまかせる、かっこいい鼻くそのほじり方を教えてください→子供を産むことは、いったいどれぐらい辛くて大変なのですか？,1,1996-08-04-1.0
343,333,1996-08-11,納涼！さぶさぶコンテスト!!,今日のオープニングはひどい→みんな浜田のことを見ている→ピンクレディーはミーちゃんばっかり見てた→和製ジェームズ・ディーン浜田→ラーメン屋でタバコ吸う奴が許せない→女はレンゲにミニラーメン作る→食い終わったのに立たない奴→タバコのポイ捨ては悪いと思わない→アキ缶のポイ捨ては許さない→[ハガキ]松本さんのお父さんと加山雄三さんは仲が良くて、夏休みになるとよく家族ぐるみでハワイの別荘に行っていたと聞きましたが、どんな感じだったのか教えてください→面接のときになどに、印象に残るドアの開け方を教えてください,1,1996-08-11-1.0
344,334,1996-08-18,山崎邦正の超ケツマジック!!,休みぼけ→まだダウンタウンになってない→もう24時間チャリティーは始まっている→人間はもともとナマクラ→オンエアを見ると、いかに浜田の話を聞いていないかがわかる→仕事する気がない→名古屋へ行った→風俗は嫌い→風俗は誘われてしょうがなく行く→ソープは２回しか行ったことない→[ハガキ]世界３大セクシーポーズを教えてください→今発明しているすごく大きいものとは何ですか？→山で獰猛なクマやオオカミに出会ったら、絶対に目を逸らさず睨み合えと言いますが、そのあとどうすればいいんですか？→世の中で一番かわいい赤ちゃんは何の赤ちゃんですか？,1,1996-08-18-1.0
345,335,1996-08-25,菅ＶＳダウンタウンお楽しみ対決!!（すかしネタ）,２４時間テレビが終わってこの番組→巨人が首位になった→昔は中日好きだった→中日に松本という選手がいた→延長するのわかってるなら３０分早く始めろ→長嶋のサイン→桑田佳祐のモノマネに凝っている→千昌夫のモノマネ→ミスチルのモノマネ→モノマネの十八番はユーミン→赤井英和のモノマネ→[ハガキ]浜田さんの前世は何ですか？→どうしたらカラオケで自分の歌を聴いてもらえるようになりますか？,1,1996-08-25-1.0
346,336,1996-09-01,さぶさぶトリオ救済お見合い大作戦!!,足の爪がはがれかけてる→腰が痛い→マグロなん？→雨不足→[ハガキ]ウルトラ兄弟の末っ子の松本さんに質問です。ウルトラの父が毎日、息子たちに口を酸っぱく言っていたことは何ですか？→２４時間テレビで赤井さんがゴールをしたとき、彼は何を言えば日本中を爆笑の渦に巻き込めたのですか？,1,1996-09-01-1.0
347,337,1996-09-08,第２回　冷し中華はどこまで冷し中華なのか!!　冷やし中華の限界に迫る!!,今日の企画はばっちりだった→本当は具志堅さんを呼ぶ予定だった→冷やしちょっちゅねと言ってほしかった→[ハガキ]まだ登ったことのない山に登るときに、絶対に必要な物は何ですか？,1,1996-09-08-1.0
348,338,1996-09-15,浜ちゃん【通になりきり】山登りグッズを買いに行く,最前列の席が一人空いている→オープニングで恥かかされた→松本は知らんと言ったことが無い→パイロットはフライト前の食事では同じものを食べない→飛行機の操縦の仕方→[ハガキ]国民栄誉賞を受賞した松本さん。受賞のきっかけとなった、見る人すべてを涙させる、感動の舞を見せてください→タクシーのおっちゃんに気がついてもらうには、どうやって合図を送ればいいのですか？→新幹線にぎりぎりで間に合うか間に合わないかの瞬間に、新幹線を止める方法はありますか？,1,1996-09-15-1.0
349,339,1996-09-22,ミラクルドリームハッスルチャレンジゲーム!!,めちゃめちゃ人気ある→不思議な手紙→携帯は便利か？→携帯はまだ売り出す段階ではない→元気な客は笑い声が嘘っぽい→巨人は優勝するのか？→[ハガキ]悲しいことがあると、両手の翼を大きく広げ、泣きながら夜空を飛んでいるという松本さん。何がそんなに悲しいのですか？→バンジージャンプをやれと言われるより、きつくて怖いことは何ですか？→ガムはどういう状態になったら捨てればいいのですか？,1,1996-09-22-1.0
350,340,1996-09-29,磯俣マネージャー七変化!! (七変化第5回),久しぶりに大阪に帰った→台風明けの飛行機は怖い→ホテルのベットでは寝れない→板尾がチョイ役でドラマ決まった→[ハガキ]ニューヨークのビルから落ちそうになった子供を無事救出した話を教えてください→私は地下鉄のドアにマヌケな格好で挟まれたことがあります。もし挟まれたときにカッコイイ挟まり方を教えてください→学校のチャイムを松本流で作曲してください,1,1996-09-29-1.0
351,341,1996-10-13,１９９６年度　輝け!!　全日本タレント人気調査!!,松本が胃がクラッシュした→今までにないくらい痛い→発作ってどんなんやねん？→勇気ってどんなやねん？→浜田のことを心配するのはもうやめる→アクターズスクールの生徒と安室→[ハガキ]私は来年の春から教鞭を振るうことになった新米の教師ですが、絶対に生徒になめられない教室の登場の仕方を教えてください,1,1996-10-13-1.0
352,342,1996-10-27,（全編総集編にするはずが？）緊急特別企画ブリーフの貴公子マネージャー岡本また×８怒る（９）〜ガキ水飲みまくり,[ハガキ]たまたま道を歩いていて、自分の好きな彼女が野グソをしている現場を目撃して、目と目が会ったときどのようなリアクションをすれば、彼女の恥ずかしさを和らげる事が出来るのですか？→自分の愛車を売ろうと思い、次の車を探し始めたとたんに、それまでノントラブルだったのに故障してしまいました。これは売るなという神のお告げなのでしょうか？それとも車に僕の気持ちがばれたのでしょうか？→岡本太郎さんデザインの、太陽の塔の中身はどうなっているのですか？,1,1996-10-27-1.0
353,343,1996-11-03,山崎邦正ケツ公開スパーリング!!,トイレ一緒になったんだから何かしゃべればいいのに→ヘイヘイのエレベーターの中は嫌→突然嘘よねーんと言われた→全ての力を振り絞ってアホちゃうかの顔をしてやった→選挙に出る気？→国を治していかなあかんと思う→消費税をなくす→国民総ホットパンツにする→[ハガキ]津軽じょんがら節の、じょんがらの意味を教えてください→世界三大、洗車に適したふかふかな物を教えてください→絶対に乗車拒否できなくなるタクシーの停め方を教えてください,1,1996-11-03-1.0
354,344,1996-11-10,第５回　世界のヘイポーなりきりお見合い!!,最近動悸がする→３０超えると色々ある→最近風俗に行ってないの？→おもしろい風俗が無い→漫才コンビはＳとＭで出来上がっている→[ハガキ]アナコンダに万が一巻きつかれてしまった場合、どうやって脱出したらいいのですか？→来年のために、蚊に血を吸われない方法を教えてください→相方のこんな姿だけは死ぬまで見たくない、という姿は何ですか？,1,1996-11-10-1.0
355,345,1996-11-17,スーパーキャノンボール,前説おもしろかったですか？→どっちが早く死ぬか？→どっちがいい男か？→朝起きたら耳栓食べてた→[ハガキ]松本さんはマイケルと仲が良く、日本に来るとマイケルが松本さんの家に必ず遊びに来るというのは本当ですか？→万が一山で遭難してしまったとき、眠らないようにするにはどうしたらいいのですか？→浜田さんはクリスマスに何をプレゼントされたら一番喜びますか？,1,1996-11-17-1.0
356,346,1996-11-24,山崎ドッキリ大作戦!!（中村Ｐ死亡？）,立ち位置→コンビの写真うつり→今年は早い→男の４０は女の２５→女の２５が恋愛のタイムリミット[ハガキ]→カップのアイスを食べるとき、周りの人に見られても恥ずかしくないカップの舐め方を教えてください→ガキの放送の直後に流れる、今日の出来事の５秒ＣＭのキャスターを笑わせてください,1,1996-11-24-1.0
357,347,1996-12-01,相性ピッタシ　おまたにもんまりグランプリ!!,なし,1,1996-12-01-1.0
358,348,1996-12-08,ちゃんとちゃんとチンしましょう!!,HEY!HEY!HEY!のクリスマス特番で飲まされた→最後のglobeのときは一言もしゃべんなかった→globeが出てたことも知らなかった→紅白の発表→なぜ松たか子が紅白の司会なのか？→岡八朗→奥目のはっちゃん→[ハガキ]浜田さんのヅラがぶっ飛んで、浜田さんがツルッパゲになってしまったら、松本さんはまず何をしますか？→松本さんがお金が困ったときにやっている、時給8万6000円のバイトを教えて下さい→大人になって良かったと思うときは、どんなときですか？,1,1996-12-08-1.0
359,349,1996-12-15,世紀末ならぬ年末クイズ　岡本のおもろいおもろないチェック!!,この番組は客の元気が有るときと無いときの差が激しい→浜田の歯にネギが挟まってる→東京はカラスが多い→芸能人は家族を持つとすごい変わる→東野の娘はアメリカンスクールに行ってる→浜田は子供のとき可愛がられてなかった→ハワイには何があるの？→[ハガキ]朝早く起きる方法を教えてください→うちの娘は来春から幼稚園なのですが、松本様のようになれる方法を教えてください,1,1996-12-15-1.0
360,350,1996-12-29,第２回　山崎邦正ケツリベンジ　KETSU-1グランプリ!!,天気が悪いとテンションが上がらない→耳を澄ますと雨音が聞こえる→スタジオがボロくてブルーになる→もしこの世界入ってなかったらどうなってたか？→スナックに行ってブサイクな女を口説いてる→[ハガキ]たまごっちの類似品で人志っちというのがあるそうですが、その遊び方を教えて下さい→湾岸戦争終結のきっかけとなった幻の鼻歌、ハッピーハッピーサンシャインを歌ってください→彼女とデート中、偶然犬のうんこを踏んでしまったとき、どういうリアクションをとれば彼女に嫌われずに済みますか？,1,1996-12-29-1.0
361,351,1997-01-05,トークから展開した企画特集,なし      ,1,1997-01-05-1.0
362,352,1997-01-12,ダウンタウン監督 ○禁カラオケビデオ撮影会！！,トイレで二人っきり→フジテレビのトイレで渡瀬恒彦に会う→[ハガキ]映画にＡ級とＢ級があるように、芸能人にも一流二流三流はあると思うのですが、一流タレントと二流タレントの極めはだれですか？→この世で一番美味しいと言われる、松本流カレーの作り方を教えてください → マンションの屋上から飛び降りようとしている人を思いとどまらせる一言を教えてください,1,1997-01-12-1.0
363,353,1997-01-19,第3回　松本vs浜田100本勝負！！,仙台に行ったその日の夜から大雪なった→ビーチ草履→ほとんどホテルにいた→今年の正月はテレビ見た→今一番おもしろいのはCMの久保田利伸→鈴木蘭々のCMがムカツク→もうこっちに住んでるんだって言われたら腹が立つ→[ハガキ]眼鏡不足、隕石のアップ、ほこてんの中止など、様々な予想を的中させてきた松本さん。1997年の大予想を聞かせてください→その昔レンジャー部隊にいたという松本さん、その部隊での活躍ぶりを教えてください      ,1,1997-01-19-1.0
364,354,1997-01-26,山崎邦正プロデュース NEOダウンタウン計画！！,今日は前半分を取り返さなくてはならない→時間を持て余しているときは性器を触る→松本がディズニーランドに行ってきた→シンデレラ城が面白い→[ハガキ]カッコイイコーラの飲み方を教えてください→西の海からは大津波が押し寄せ、東の山からは大噴火で溶岩が押し寄せ、南の大地からは超巨大竜巻が迫り、北の雪山からは特大の雪崩が襲ってくるという非常事態に見舞われたとき、松本さんはどうやって切りぬけますか？→セックスでイクときに、この世で一番気持ち良いイキかたを教えてください,1,1997-01-26-1.0
365,355,1997-02-02,売れっ子作家　高須光聖七変化！！ (七変化第6回),今日はオープニングがイマイチだった→今日は何もないので一回くらい無言のトークがあってもいい→浜田は客の一人が死んだら泣くか？→松本が死んだら泣くか？→[ハガキ]今年の夏はどんな服が流行するのですか？→超高級バーに行ったとき、こいつ初めてだなと周りの客に思われないための、メニューの注文の仕方を教えてください→女が向こうからやって来る秘訣は何ですか？,1,1997-02-02-1.0
366,356,1997-02-09,カレーうどんきれいにきれいに食べましょうグランプリ,今日の客は隙を見せるとやられる→子供が減っている→結婚する気はないが、子供だけを色々なところに作る→試験管ベイビーでもいい→[ハガキ]驚異の新人タイガーウッズに何かアドバイスしてあげてください→嫌われている先生にめちゃくちゃな成績を付けられてしまったときの、イメージアップの方法はありますか？→コンビニで弁当を温めてもらっているとき、手持無沙汰を解消するために、何をしたら良いですか？→自分の部屋の電気をよくつけっぱなしにして、よく母に怒られます。何て言い返したら母を納得させられますか？,1,1997-02-09-1.0
367,357,1997-02-16,人生の後半グダグダ芸人 レギュラー獲得ショー！！,浜田のセーターから汚いほくろが見え隠れしている→何で浜田のほくろには立体感があるのか？→[ハガキ]昔裏のタクシーの運転手だった松本さんが封印した、東京〜大阪を15分で行ける秘密ルートがあると聞きました。その道はどこにあるのか教えてください→踏まれると興奮する体の場所はありますか？,1,1997-02-16-1.0
368,358,1997-02-23,ココリコ田中 ドッキリ大作戦！！,足の皿が割れてる→普段の力の96は出せると思う→ダウンタウンショップが燃えたらしい→自分とケンカできる犬を飼いたい→なぜ浜田は犬が嫌いなのか？→[ハガキ]松っちゃんが毎晩ブリを抱いて眠るのは何故ですか？→人間は涙を流しますが、動物は泣かないのですか？もし松本さんがラクダを泣かすなら、どうやって泣かしますか？→蒸発して７年になりますが、今さらどんな顔をして家族の元に帰ったらいいか分かりません。最も自然な方法を教えてください→女は星の数ほどいるといいますが、男は何の数だけいるのですか？,1,1997-02-23-1.0
369,359,1997-03-02,廻って廻って顔面一変化！,なし   ,1,1997-03-02-1.0
